datetime,dir_name,qwk,qwk_change,txt
2019-03-23 19:10:59.917417,src_2019-03-23_1910_qwk_048814,0.4881405300660261,0.4889207586741001,word2vec desc word2vec n_15
2019-03-23 20:01:11.525694,src_2019-03-23_2001_qwk_048814,0.4881405300660261,0.4889207586741001,word2vec desc word2vec n_15 before mistake
2019-03-23 20:24:04.602161,src_2019-03-23_2024_qwk_048810,0.4881016777694643,0.4900549589905855,word2vec desc word2vec n_5
2019-03-23 20:51:24.844722,src_2019-03-23_2051_qwk_048797,0.4879789307572772,0.4890544335734302,sentiment entities word2vec n_15
2019-03-23 21:04:03.479563,src_2019-03-23_2104_qwk_049029,0.4902900056857952,0.4899234660903048,sentiment entities word2vec n_10
2019-03-23 21:19:23.518788,src_2019-03-23_2119_qwk_048981,0.4898185335160869,0.4901509237211604,sentiment entities word2vec n_5
2019-03-23 21:30:33.945473,src_2019-03-23_2130_qwk_049025,0.4902526987045791,0.4914377494472483,remove word vec
2019-03-23 22:00:58.172805,src_2019-03-23_2200_qwk_048927,0.4892786371810606,0.4913656847772902,n_comp 10
2019-03-23 22:13:17.942206,src_2019-03-23_2213_qwk_049185,0.4918540756978469,0.4913469789272923,img svd n_comp 16
2019-03-23 22:24:14.284206,src_2019-03-23_2224_qwk_048983,0.4898355355767362,0.4896478316475991,img svd n_comp 8
2019-03-23 23:20:58.116743,src_2019-03-23_2320_qwk_048980,0.4898055107572795,0.4918466737770011,metadata color
2019-03-23 23:46:08.644550,src_2019-03-23_2346_qwk_048936,0.4893687012141129,0.4903481551554978,metadata breed
2019-03-24 00:07:13.393170,src_2019-03-24_0007_qwk_049073,0.4907377870523313,0.49254833301374723,metadata breed 2(1)
