index,fscore
Age,3298
Breed1,1848
RescuerID_COUNT,1582
metadata_annots_score_MEAN,1528
TFIDF_Description_11,1234
TFIDF_Description_9,1227
IMG_SVD_4,1205
TFIDF_Description_0,1202
TFIDF_Description_12,1198
TFIDF_metadata_annots_top_desc_3,1183
TFIDF_metadata_annots_top_desc_13,1171
IMG_SVD_24,1168
IMG_SVD_14,1144
TFIDF_Description_15,1142
IMG_SVD_19,1133
IMG_SVD_1,1124
TFIDF_Description_8,1124
TFIDF_Description_13,1118
TFIDF_Description_14,1117
IMG_SVD_9,1108
IMG_SVD_30,1106
IMG_SVD_6,1105
IMG_SVD_23,1098
IMG_SVD_20,1096
IMG_SVD_16,1086
IMG_SVD_22,1078
metadata_color_pixelfrac_MEAN,1075
TFIDF_metadata_annots_top_desc_2,1075
TFIDF_Description_3,1069
TFIDF_Description_4,1068
metadata_color_score_MEAN,1067
TFIDF_Description_7,1064
IMG_SVD_5,1063
TFIDF_Description_2,1063
IMG_SVD_10,1063
IMG_SVD_29,1061
TFIDF_Description_6,1059
IMG_SVD_13,1057
image_size_mean,1051
IMG_SVD_15,1050
IMG_SVD_12,1050
IMG_SVD_0,1041
IMG_SVD_27,1006
TFIDF_sentiment_entities_12,1000
TFIDF_sentiment_entities_14,998
TFIDF_metadata_annots_top_desc_0,990
IMG_SVD_25,990
TFIDF_metadata_annots_top_desc_11,984
sentiment_magnitude,983
IMG_SVD_18,982
IMG_SVD_26,980
TFIDF_metadata_annots_top_desc_10,980
TFIDF_metadata_annots_top_desc_14,975
IMG_SVD_17,974
IMG_SVD_7,965
IMG_SVD_11,965
TFIDF_sentiment_entities_13,964
TFIDF_metadata_annots_top_desc_12,962
IMG_SVD_2,962
TFIDF_Description_10,961
TFIDF_sentiment_entities_15,958
IMG_SVD_21,958
IMG_SVD_8,955
metadata_annots_score_VAR,943
TFIDF_metadata_annots_top_desc_4,928
Length_Description,923
TFIDF_sentiment_entities_8,918
TFIDF_Description_1,915
TFIDF_metadata_annots_top_desc_7,914
TFIDF_metadata_annots_top_desc_15,913
IMG_SVD_31,912
TFIDF_sentiment_entities_11,911
IMG_SVD_28,909
Breed2,905
TFIDF_metadata_annots_top_desc_8,896
TFIDF_metadata_annots_top_desc_9,896
IMG_SVD_3,894
TFIDF_metadata_annots_top_desc_6,890
TFIDF_Description_5,889
sentiment_magnitude_mean,878
TFIDF_sentiment_entities_1,875
TFIDF_sentiment_entities_6,871
TFIDF_metadata_annots_top_desc_1,866
TFIDF_sentiment_entities_10,864
height_mean,851
TFIDF_sentiment_entities_5,851
TFIDF_sentiment_entities_0,834
sentiment_magnitude_var,828
sentiment_score_var,800
metadata_color_pixelfrac_VAR,796
Color1,795
TFIDF_metadata_annots_top_desc_5,791
width_mean,790
metadata_color_score_VAR,764
Lengths_sentiment_entities,744
metadata_annots_score_SUM,743
TFIDF_sentiment_entities_7,730
TFIDF_sentiment_entities_3,729
Color2,723
TFIDF_sentiment_entities_9,710
sentiment_score_sum,699
metadata_color_pixelfrac_SUM,657
Type,654
image_size_sum,649
Length_metadata_annots_top_desc,636
TFIDF_sentiment_entities_4,634
TFIDF_sentiment_entities_2,633
image_size_var,620
Gender,607
metadata_color_score_SUM,593
sentiment_score_mean,583
Fee,514
Quantity,499
height_sum,456
width_var,443
sentiment_score,442
MaturitySize,437
height_var,428
main_state_Population,421
State,413
sentiment_magnitude_sum,410
PhotoAmt,394
width_sum,390
Sterilized,384
Vaccinated,383
FurLength,362
Color3,289
Dewormed,264
main_state_Total_area,224
metadata_crop_importance_VAR,198
metadata_crop_importance_MEAN,196
main_state_HDI,183
Health,142
mixed_Breed,110
second_breed_Type,87
metadata_crop_conf_VAR,76
VideoAmt,74
metadata_crop_conf_MEAN,73
metadata_crop_importance_SUM,65
metadata_crop_conf_SUM,19
main_breed_Type,7
main_state_West_East,3
